"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",837.626748788815,0.527882254635074,0.31593551941261,1.67085440603993,0.0947504391313402,0.344847896671767
"ENSG00000000005",12.7033984557991,0.702953098505082,0.582437985740433,1.20691492607825,0.227464908813787,0.51373178854517
"ENSG00000000419",758.9801461344,-0.27805186330729,0.199760605122229,-1.39192541561013,0.163944984622516,0.439959467347614
"ENSG00000000457",896.253809609473,0.16371512337633,0.147076430927987,1.11312956361097,0.265652788284859,0.550269614998627
"ENSG00000000460",399.80397990694,0.303238165534314,0.177198847282845,1.71128746142623,0.0870280598542437,0.332076081996753
"ENSG00000000938",141.026878326301,0.800653249499819,0.482453767939884,1.65954398681281,0.097006224681719,0.348600106882776
"ENSG00000000971",3782.26930516892,0.803814355430363,0.525876623418684,1.52852269835618,0.126382812307746,0.39270538864846
"ENSG00000001036",373.391414751113,0.126561350835348,0.254947933262975,0.496420383627119,0.619597846645775,0.813133134680606
"ENSG00000001084",1251.45042175841,-0.318984869614716,0.215500914886808,-1.4802019275986,0.138819366177608,0.408124572031103
"ENSG00000001167",1181.34633528824,0.0994999306358398,0.25106114626255,0.396317519126543,0.691870804714797,0.853905941212698
"ENSG00000001460",202.853067697095,-0.406825517741402,0.248357679864534,-1.63806296613539,0.101408559417008,0.355600817163714
"ENSG00000001461",955.954655027681,0.144288286001761,0.247402748171215,0.583212139187338,0.55975050024442,0.776802440349401
"ENSG00000001497",894.817560563026,-0.0350001968536686,0.15496094302533,-0.225864635116137,0.821306704165361,0.920152033379864
"ENSG00000001561",256.835584877954,1.14154521695154,0.573152644783095,1.99169493038551,0.0464045403032419,0.246023192561765
"ENSG00000001617",1220.97507144497,-0.871555272003697,0.336961379110112,-2.58651384412482,0.00969522755865035,0.116183537940526
"ENSG00000001626",154.770017752413,1.2880446224753,0.638149665460755,2.01840523029235,0.0435490751197553,0.239764300792721
"ENSG00000001629",2584.83162248481,0.0531304349348237,0.14569675773182,0.36466449742567,0.715361863180648,0.865649184404502
"ENSG00000001630",38.7886347572418,-1.28025656518545,0.673771485724247,-1.90013467816804,0.0574154478576984,0.271112899833661
"ENSG00000001631",1754.63873675016,-0.0107438464108816,0.157176955809325,-0.0683550992291469,0.945502963810327,0.97788902205504
"ENSG00000002016",527.429637078509,-0.00308854630161353,0.185016523558065,-0.0166933538811426,0.986681249258171,0.994043433604619
"ENSG00000002079",51.8619055482215,0.385356798312201,0.377142737658814,1.02177971317803,0.306885173115688,0.589442521030923
"ENSG00000002330",44.7760372656265,-0.551837321824946,0.492554602978187,-1.12035765880232,0.2625613804994,0.548175816212567
"ENSG00000002549",1882.70143193891,0.577904905022137,0.349617557754483,1.65296305120914,0.0983383835794263,0.350682809182121
"ENSG00000002586",1668.89126818839,0.297824697600267,0.230805562414763,1.29037053736629,0.196922036606205,0.478753501898559
"ENSG00000002587",268.495167489548,0.650343655692495,0.469982137185326,1.38376249699049,0.166431189927295,0.442422919583675
"ENSG00000002726",34.9628476990928,1.27272938080143,0.596462814998513,2.1337950142032,0.0328595642143254,0.209525712975779
"ENSG00000002745",448.87527520012,-2.60142482467819,0.852608106664165,-3.05113780216832,0.00227975917826044,0.0580480635916112
"ENSG00000002746",49.3415580842252,0.390284033555419,0.39409782280551,0.990322734535955,0.322016397809289,0.603204263116863
"ENSG00000002822",475.713061824174,-0.328746673970561,0.279622620547265,-1.17567982635723,0.239722843053044,0.525185581429708
"ENSG00000002834",1995.28954865635,0.348713226366256,0.217968343943604,1.59983426977121,0.109635354144569,0.367947364520856
"ENSG00000002919",416.865152982724,0.0896409741005356,0.210151234979312,0.426554591075138,0.669703777876002,0.842635024194079
"ENSG00000002933",158.164445148475,1.56643199923076,0.523504441843943,2.99220383634818,0.00276971262445933,0.0631346167378239
"ENSG00000003056",1267.94132761656,0.283369956195969,0.19635026406723,1.44318602036075,0.148968076497653,0.421593046711746
"ENSG00000003096",117.187101560907,0.792235011323211,0.312020662789983,2.53904662671797,0.0111155008146308,0.124740832256132
"ENSG00000003137",438.222746607219,-0.301881402650583,0.415669317576728,-0.726253754812823,0.467683223695214,0.715675833474552
"ENSG00000003147",741.878571437805,0.171425873231974,0.488706473797857,0.350774713295247,0.725757369152649,0.871042746556823
"ENSG00000003249",88.8530451123561,-0.381056012776469,0.437284132245081,-0.871415138756743,0.383527522769178,0.65269260443736
"ENSG00000003393",1971.81154238608,0.166282969201955,0.18452169279504,0.901156751182942,0.367504982301768,0.640418058392548
"ENSG00000003400",597.848597720456,0.0138496049523938,0.290490444914232,0.0476766282501408,0.961973960870512,0.98422833243206
"ENSG00000003402",4218.47981802662,-0.193281200649695,0.296080635034321,-0.652799196500271,0.513885741697527,0.748054244445179
"ENSG00000003436",673.121770767699,0.173428976755155,0.388482739581234,0.446426466571212,0.655289218291826,0.834463327897962
"ENSG00000003509",444.075999967621,0.167371823107274,0.144430384593706,1.15884080471089,0.246521081440821,0.531889407500303
"ENSG00000003756",4474.72942745724,0.0497589928454275,0.179918558807007,0.276563980810908,0.782114925370179,0.901581228604351
"ENSG00000003987",727.922411669551,0.636273462377605,0.408217335497114,1.55866350360347,0.119076044168657,0.382310610087816
"ENSG00000003989",6050.68676462818,0.718730755326308,0.457987561981843,1.56932374367582,0.116572522504104,0.378724694158578
"ENSG00000004059",775.423356226599,-0.512393699894308,0.295118883775878,-1.73622810353077,0.0825235099404688,0.32448764624818
"ENSG00000004139",117.002737010088,1.1564116562546,0.359800727781792,3.21403367743026,0.00130884321161896,0.0452246136504321
"ENSG00000004142",1270.21382947788,-0.295639781253959,0.209948138566703,-1.40815623930874,0.1590848110172,0.433937538748194
"ENSG00000004399",1179.19778225303,0.72187868417731,0.405385360576614,1.78072213350408,0.0749578554724347,0.310176275540922
"ENSG00000004455",2212.05186038556,-0.282939502557138,0.134575399678548,-2.1024608006588,0.035512929980388,0.217628087068902
"ENSG00000004468",206.00583524638,1.93131593407479,0.860433330600674,2.24458521699354,0.0247947726549845,0.185033998521218
"ENSG00000004478",1219.63350463777,-0.586790901326422,0.27560359109094,-2.12911195751728,0.0332449986943515,0.210677881896778
"ENSG00000004487",3051.57135117822,0.232431000550604,0.200768641432281,1.1577056999163,0.246984157102954,0.532362586945762
"ENSG00000004534",3519.64908781576,0.0908171756702365,0.182240750432366,0.49833626921955,0.618247048146497,0.812512737698035
"ENSG00000004660",551.434036784784,-0.30354110907407,0.346052539523568,-0.8771532481512,0.380403405776487,0.65040918296382
"ENSG00000004700",1179.83309854412,0.38463295780956,0.184194089439176,2.08819381219381,0.0367803552683277,0.220910993716213
"ENSG00000004766",1477.89716336032,-0.018708817642997,0.17913826825474,-0.104437861464601,0.916821877846524,0.965186706316946
"ENSG00000004777",218.518895088354,0.08031732741946,0.47533451166288,0.168970115673871,0.865820147612972,0.942175295549602
"ENSG00000004779",513.971999846057,-0.251952425109428,0.239956840900791,-1.04999059065624,0.293722438853333,0.57697875262967
"ENSG00000004799",508.348643993605,1.04996216530579,0.661346866861601,1.5876119142869,0.11237412239908,0.37213695614998
"ENSG00000004809",6.70384301631206,0.620192749224861,0.731384831637218,0.847970483386357,0.396454409171221,0.663076702567238
"ENSG00000004838",38.3291333830864,-0.0759083229513771,0.432814518062695,-0.175383033108842,0.860778671576145,0.939887869058457
