"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031012","extracellular matrix","9/21","497/16319",4.45090303844209e-09,1.26832913097558e-07,1.14435711065466e-07,"FN1/ADAMTS12/CTHRC1/LRRC15/MMP7/ADAMTS2/CCN4/POSTN/MMP11",9
"GO:0030312","external encapsulating structure","9/21","498/16319",4.52974689634137e-09,1.26832913097558e-07,1.14435711065466e-07,"FN1/ADAMTS12/CTHRC1/LRRC15/MMP7/ADAMTS2/CCN4/POSTN/MMP11",9
"GO:0062023","collagen-containing extracellular matrix","5/21","382/16319",0.00010224834649777,0.00190863580129171,0.00172207741469929,"FN1/CTHRC1/LRRC15/ADAMTS2/POSTN",5
